good morning,早上好；早晨
apace,adv.,飞快地
apartheid,n.,种族隔离
apartment,n.,公寓
apathetic,adj.,冷漠的
apathy,n.,冷漠
ape,n.,猿
ape,v.,模仿
aperture,n.,孔；光圈
api,n.,应用程序接口
apologise,v.,道歉
apostrophe,n.,撇号
apotheosis,n.,神化；典范
appalling,adj.,骇人听闻的
apparel,n.,服装
appease,v.,安抚；平息
appeasement,n.,绥靖；姑息
append,v.,附加
appendage,n.,附加物
appendix,n.,附录；阑尾
appetiser,n.,开胃菜
appetizing,adj.,开胃的
applause,n.,鼓掌；喝彩
applied,adj.,应用的
apportion,v.,分配
appraisal,n.,评估
appraise,v.,评估
appreciably,adv.,相当大地；明显地
appreciative,adj.,感激的
apprehension,n.,忧虑；理解
apprehensive,adj.,忧虑的
apprentice,n.,学徒
apprenticeship,n.,学徒期
approachability,n.,可接近性
approachable,adj.,平易近人的
approbation,n.,批准；赞同
appropriately,adv.,适当地
approved,adj.,经批准的
approximate,adj.,大约的
approximate,v.,接近
apricot,n.,杏
apron,n.,围裙
apt,adj.,恰当的；有…倾向的
aptitude,n.,天资；才能
aquaculture,n.,水产养殖
aquarium,n.,水族馆
aquatic,adj.,水生的
aqueduct,n.,导水管
aqueous,adj.,水的
arable,adj.,适于耕种的
arable,n.,耕地
arboreal,adj.,树栖的
arch,n.,拱门
arch,v.,拱起
archaeological,adj.,考古学的
archaeology,n.,考古学
archery,n.,箭术
archipelago,n.,群岛
archive,n.,档案
archive,v.,存档
archives,n.,档案馆
arguably,adv.,可以说
arid,adj.,干旱的
aridity,n.,干旱
armor,n.,盔甲
arms,n.,武器
army,n.,军队
aromatic,adj.,芳香的
arose,v.,出现（arise的过去式）
arousal,n.,唤起；兴奋
array,n.,一系列；数组
array,v.,排列
arrogance,n.,傲慢
arrogant,adj.,傲慢的
arrow,n.,箭
arrows,n.,箭（复数）
artefact,n.,手工艺品
arteriosclerosis,n.,动脉硬化
artery,n.,动脉；干道
arthritis,n.,关节炎
articles,n.,文章（复数）
articulate,adj.,口齿清晰的
articulate,v.,清楚地表达
artifact,n.,手工艺品
artificially,adv.,人工地
artisan,n.,工匠
artists,n.,艺术家（复数）
arts,n.,艺术；文科
artwork,n.,艺术品
asbestos,n.,石棉
ascend,v.,上升；攀登
ascendancy,n.,优势；支配地位
ascendant,adj.,上升的
ascending,adj.,上升的
ascent,n.,上升；攀登
ascribe,v.,归因于
asparagus,n.,芦笋
aspiration,n.,抱负；渴望
aspire,v.,渴望；立志
aspiring,adj.,有抱负的
assault,n.,攻击；袭击
assault,v.,攻击；袭击
assemblage,n.,集合；装配
assembler,n.,汇编程序；装配工
assert,v.,断言；主张
assertion,n.,断言；主张
assertive,adj.,自信的；坚定的
assertiveness,n.,自信
assessor,n.,评估员
assiduous,adj.,勤奋的
assimilate,v.,吸收；同化
assimilation,n.,吸收；同化
assistantship,n.,助教奖学金
assort,v.,分类
assortment,n.,各种各样
assumed,adj.,假定的
assurance,n.,保证；自信
assured,adj.,确信的；自信的
assuredly,adv.,确实地
asthma,n.,哮喘
astonished,adj.,惊讶的
astonishing,adj.,惊人的
astonishingly,adv.,惊人地
astounding,adj.,令人震惊的
astray,adv.,迷路地
astrology,n.,占星术
astronomer,n.,天文学家
astrophysics,n.,天体物理学
asylum,n.,庇护；避难所
asymmetry,n.,不对称
asynchronous,adj.,异步的
atlas,n.,地图集
atom,n.,原子
atoms,n.,原子（复数）
attached,adj.,依恋的；附属于
attainable,adj.,可达到的
attend,v.,参加；出席；照顾
attenuate,v.,使减弱
attest,v.,证明
attire,n.,服装
attribution,n.,归因
attributive,adj.,定语的
atypical,adj.,非典型的
aubergine,n.,茄子
auction,n.,拍卖
auction,v.,拍卖
auctioneer,n.,拍卖师
audacious,adj.,大胆的
audio-visual,adj.,视听的
audiovisuals,n.,视听材料
audiology,n.,听力学
audit,n.,审计
audit,v.,审计；旁听
audition,n.,试镜；试音
audition,v.,试镜；试音
auditor,n.,审计员；旁听生
auditorium,n.,礼堂
augment,v.,增加；增大
aura,n.,光环；气氛
aural,adj.,听觉的
authenticate,v.,证实
authorise,v.,授权；批准
authoritative,adj.,权威的
autism,n.,自闭症
autistic,adj.,自闭症的
autobiography,n.,自传
autocrat,n.,独裁者
autocratic,adj.,独裁的
autoimmune,adj.,自身免疫的
autoindex,n.,自动索引
autonomous,adj.,自治的；自主的
autonomy,n.,自治权；自主权
auxiliary,adj.,辅助的
auxiliary,n.,助动词；辅助人员
avail,n.,用处；好处
avail,v.,有用；有帮助
avalanche,n.,雪崩
avant-garde,adj.,前卫的
avant-garde,n.,先锋派
aviary,n.,大型鸟舍；鸟园
avid,adj.,渴望的；热衷的
awaitable,n.,可等待对象
awayday,n.,外出活动日
awe,n.,敬畏
awe,v.,使敬畏
awesome,adj.,很棒的；超赞的
ax,n.,斧头
ax,v.,削减；解雇
axe,n.,斧头
axe,v.,削减；解雇
axle,n.,车轴
babies,n.,婴儿
babyhood,n.,婴儿期
babyish,adj.,幼稚的
back-up,adj.,备用的；支援的
back-up,n.,备份；后援
back-up,v.,备份
backbone,n.,脊梁；骨干；支柱
backdrop,n.,背景
backlash,n.,强烈反弹；强烈反对
backpack,n.,背包；双肩包
backpack,v.,背包旅行
backspace,n.,退格键
backstage,adv.,在后台
backwards,adv.,向后
bacon,n.,培根；咸肉
bacterial,adj.,细菌的
badminton,n.,羽毛球
baffle,v.,使困惑；难住
bag-packer,n.,打包员
baggageroom,n.,行李房
bags,n.,包
bait,n.,诱饵；鱼饵
bait,v.,下诱饵；引诱
bakelite,n.,胶木；电木
baldness,n.,秃头
baleen,n.,鲸须
balk,v.,犹豫；畏缩不前
balloons,n.,气球
ballot,n.,投票；选票
ballot,v.,投票
ballroom,n.,舞厅
bananas,n.,香蕉
bandage,n.,绷带
bandage,v.,包扎
bandstand,n.,演奏台
bandwagon,n.,潮流；时尚
bangle,n.,手镯
banquet,n.,宴会
baptise,v.,给…施洗
barbaric,adj.,野蛮的
barge,n.,驳船
barge,v.,闯入
barley,n.,大麦
barn,n.,谷仓
barometer,n.,气压计；晴雨表
baron,n.,男爵；大亨
barracks,n.,兵营
barrage,n.,弹幕；连珠炮
barren,adj.,贫瘠的；不孕的
barricade,n.,路障
barricade,v.,设路障
basic,adj.,基本的
bathing,n.,游泳
bathrobe,n.,浴袍
bathtub,n.,浴缸
baton,n.,指挥棒；接力棒
batter,n.,面糊；击球手
batter,v.,连续猛击
baulk,v.,犹豫；畏缩不前
bazaar,n.,集市
beachwear,n.,沙滩装
bead,n.,珠子
beak,n.,鸟嘴
beatific,adj.,幸福的
beats,n.,节拍
becoming,adj.,合适的；得体的
bedding,n.,床上用品
bedsheet,n.,床单
bedsit,n.,单间公寓
beehive,n.,蜂箱；蜂窝
beep,v.,发出嘟嘟声；按喇叭
beeper,n.,寻呼机；BB机
beg,v.,乞讨；恳求
beginner,n.,新手；初学者
beginners,n.,新手；初学者
beginning,n.,开始；开头
begrimed,adj.,满是污垢的；很脏的
begrimed,v.,弄脏
begrudge,v.,吝惜；嫉妒
behaviors,n.,行为；举止
behavioural,adj.,行为的
beleaguered,adj.,陷入困境的；被围困的
belonging,n.,归属感
benchmark,n.,基准；标准
benchmark,v.,以…为基准来衡量
benchmarking,n.,基准测试；对标
benediction,n.,祝福；祝祷
benefaction,n.,捐助；善行
benefactor,n.,捐助人；恩人
beneficiary,n.,受益人
benefits,n.,福利；好处
benevolent,adj.,仁慈的；善意的
benighted,adj.,愚昧的
benighted,v.,使愚昧
bent,adj.,弯的；下定决心的
bent,n.,天赋；爱好
bereave,v.,使丧失（尤指亲人）
bereavement,n.,丧亲之痛
bereft,adj.,失去…的；被剥夺的
bereft,v.,失去（bereave的过去式和过去分词）
besides,adv.,而且；此外
besides,prep.,除了…以外（还）
besiege,v.,围攻；烦扰
bestir,v.,使振作
bestman,n.,伴郎
bestow,v.,授予；赠予
beware,v.,当心；提防
bewildering,adj.,令人困惑的
biannual,adj.,一年两次的
biased,adj.,有偏见的
bibliography,n.,参考书目
bicentennial,adj.,二百周年的
bicentennial,n.,二百周年纪念
bidding,n.,投标；竞价
biennial,adj.,两年一次的
biennial,n.,二年生植物
bikes,n.,自行车（复数）
bikes,v.,骑自行车（三单）
bikini,n.,比基尼
bilateral,adj.,双边的
bilingual,adj.,双语的
bilingual,n.,会说两种语言的人
bilingualism,n.,使用双语
billboard,n.,广告牌
billboard,v.,大力宣传
billiards,n.,台球
biltong,n.,（南非）肉干
bimonthly,adj.,两月一次的；一月两次的
bimonthly,adv.,两月一次地；一月两次地
bimonthly,n.,双月刊
bin,n.,垃圾箱；箱子
bin,v.,扔进垃圾箱
binary,adj.,二进制的；二元的
binocular,adj.,双眼的
binocular,n.,双筒望远镜
biochemistry,n.,生物化学
biodegradable,adj.,可生物降解的
biodiversity,n.,生物多样性
biographer,n.,传记作家
biographic,adj.,传记的
biography,n.,传记
biohazards,n.,生物危害
biomass,n.,生物量
biomechanics,n.,生物力学
biometrics,n.,生物识别技术
biorhythm,n.,生物节律
biosphere,n.,生物圈
biped,adj.,两足的
biped,n.,两足动物
bird-watching,n.,观鸟
birdcage,n.,鸟笼
birds,n.,鸟（复数）
bisect,v.,把…对半分；平分
bishop,n.,主教；（象棋）象
bistro,n.,小餐馆；小酒馆
biweekly,adj.,两周一次的；一周两次的
biweekly,adv.,两周一次地；一周两次地
biweekly,n.,双周刊
bizarre,adj.,古怪的；离奇的
black-and-white,adj.,黑白的
blackhead,n.,黑头粉刺
blackmail,n.,敲诈；勒索
blackmail,v.,敲诈；勒索
bleak,adj.,阴冷的；荒凉的；前景黯淡的
bleeper,n.,传呼机；BB机
blind,adj.,瞎的；盲目的
blind,adv.,盲目地
blind,n.,百叶窗；幌子
blind,v.,使失明；蒙蔽
blink,n.,眨眼
blink,v.,眨眼；闪烁
blinking,adj.,闪烁的；（用于加强语气）该死的
blister,n.,水泡
blister,v.,（使）起水泡；痛斥
blizzards,n.,暴风雪（复数）
blood-shot,adj.,（眼睛）充血的
blossom,n.,（尤指果树的）花
blossom,v.,开花；发展
blowhole,n.,（鲸的）喷水孔
blue film,色情电影 
blue-collar workers,蓝领工人 
blues,n.,蓝调音乐；忧郁
blurred,adj.,模糊的
blurry,adj.,模糊的
board game,桌游 
board of directors,董事会 
boarding,adj.,寄宿的
boarding,n.,木板；寄宿
boarding school,寄宿学校 
boards,n.,木板（复数）
boardwalk,n.,（海滨）木板路
boat neck,一字领 
boats,n.,船（复数）
body fluids,体液 
body language,肢体语言 
body shaking,身体摇晃 
body shape,体型 
bodybuilding,n.,健美
bodybuilding exercise,健美操 
boiled egg,水煮蛋 
boiling,adj.,沸腾的；酷热的
boiling,adv.,极度地
boiling,n.,沸腾
boldness,n.,大胆
bolster,n.,长枕
bolster,v.,支持；加强
bombard,v.,轰炸；（用问题等）攻击
bonding,n.,（情感）联系；黏合
bones,n.,骨头（复数）；骨骼
bonfire,n.,篝火
bonus point,额外加分 
booking,n.,预订
booking form,预订单 
bookkeeping,n.,记账
booklet,n.,小册子
booklist,n.,书单
bookmark,n.,书签
bookmarker,n.,书签
bookrack,n.,书架
bookrest,n.,阅读架
books,n.,书（复数）
bookseller,n.,书商
bookshop,n.,书店
bookworm,n.,书呆子
boolean expression,布尔表达式 
booming,adj.,繁荣的；低沉洪亮的
booths,n.,小亭子（复数）；展位
boots,n.,靴子（复数）
bore,n.,令人厌烦的人；孔
bore,v.,使厌烦；钻孔
bossy,adj.,爱发号令的
botanic garden,植物园 
botanical,adj.,植物学的
botanical garden,植物园 
botanist,n.,植物学家
botany,n.,植物学
bottle tops,瓶盖 
bottle water,瓶装水 
bottlenose dolphin,宽吻海豚 
bough,n.,大树枝
bouncing,adj.,活泼健康的
bound method,绑定方法 
boundary line,边界线 
bounty,n.,赏金；慷慨
bouquet,n.,花束
bout,n.,（疾病）发作；一阵；一回合
boutique,adj.,精品的
boutique,n.,精品店
bowel,n.,肠
bowel,v.,取出…的内脏
bower,n.,凉亭；树荫
bowhead whale,弓头鲸 
bowler,n.,圆顶礼帽；投球手
bowling,n.,保龄球
bowling alley,保龄球道 
box camera,箱式照相机 
box horse,跳马 
box office,票房；售票处 
boycott,n.,抵制
boycott,v.,抵制
bracelet,n.,手镯；手链
bracketed,adj.,括在括号里的
brag,n.,吹牛
brag,v.,吹牛；自夸
brain circuits,脑回路 
brainstorm,n.,头脑风暴
brainstorm,v.,集思广益
brakes,n.,刹车
branch of insurance u,保险类别 
branches,n.,树枝（复数）；分支机构
branded,adj.,品牌的
branding,n.,品牌推广
brandy,n.,白兰地
brass band,铜管乐队 
brazen,adj.,厚颜无耻的
brazen,v.,厚着脸皮做
breach,n.,违反；缺口
breach,v.,违反；打破
breadwinner,n.,养家糊口的人
break a law,违法 
break down,出故障；分解；崩溃 
break off,中断；突然停止 
break record,打破纪录 
break up,分手；打碎；放假 
break-in,n.,非法闯入
breakneck,adj.,极快的；飞速的
breakpoint,n.,断点
bright color u,鲜艳的颜色 
bright prospect,光明的前景 
bright sunshine,明媚的阳光 
brilliantly,adv.,出色地；明亮地
brim,n.,（杯、碗等）边缘
brim,v.,充满；溢出
bring around,说服；使苏醒 
bring out,推出（新产品）；使显现 
bring round,说服；使苏醒 
bring tea,端茶 
brink,n.,（悬崖、危险的）边缘
bristle,n.,短硬毛
bristle,v.,发怒；（毛发）竖起
brittle,adj.,易碎的
broad divisions,大致分类 
broad jump,跳远 
buffer,n.,缓冲；缓冲区
bungee jumping,n.,蹦极
bunk,n.,床铺
bunk,v.,逃跑；逃课
buoyant,adj.,有浮力的；乐观的
burden of housework,家务负担 
bureaucracy,n.,官僚主义；官僚机构
bureaucratic,adj.,官僚的
burgeon,v.,迅速发展
burgeoning,adj.,迅速发展的
burglarproof,adj.,防盗的
burglary,n.,入室盗窃罪
burial,n.,埋葬；葬礼
buried,adj.,埋葬的
buried,v.,埋葬（bury的过去式和过去分词）
business foresight,n.,商业远见
business visits,n.,商务访问
bust,adj.,破产的；坏了的
bust,n.,半身像；胸围；破产
bust,v.,打破；弄坏；逮捕
busy traffic,n.,繁忙的交通
buttercup,n.,毛茛
butterflies,n.,蝴蝶（复数）
butterfly specimens,蝴蝶标本 
butterfly stroke,蝶泳 
buy furniture,买家具 
buy the clothes,买衣服 
buy the products advertised,购买广告中的产品 
buy what their children like,买孩子喜欢的东西 
buy what they don't need,买他们不需要的东西 
buzzer,n.,蜂鸣器
buzzword,n.,流行词；时髦词
by and large,总的来说 
by degrees,逐渐地 
by the hour,按小时 
bygone,adj.,过去的
bygone,n.,过去的事
byline,n.,（文章的）署名行
byline,v.,署名
byproduct,n.,副产品
byte,n.,字节
byte string,字节字符串 
bytecode,n.,字节码
bytes-like object,字节类对象 
c,prep.,大约
cab,n.,出租车；驾驶室
cab,v.,坐出租车
cabin cruiser,n.,带船舱的游艇
cabin key,n.,客舱钥匙
cable TV,n.,有线电视
cable car,n.,缆车
cache,n.,藏匿处；高速缓存
cad,n.,无赖；下流的人
café,n.,咖啡馆；小餐馆
cakes,n.,蛋糕（复数）
calamity,n.,灾难；祸患
calcium,n.,钙
calculated,adj.,计算出来的；蓄意的
calculating,adj.,精于算计的
calculus,n.,微积分；结石
calibrate,v.,校准；标定
calibration,n.,校准；标定
calibre,n.,口径；才干；水准
call diversion,n.,呼叫转移
call graph,调用图 
call in,召来；来访 
call-in,adj.,（节目）听众打来电话的
call-in,n.,电话直播节目
callable object,可调用对象 
callback,n.,回电
calligraphy,n.,书法
calls,n.,电话（复数）；呼叫（复数）
calls,v.,呼叫（三单）
camaraderie,n.,同事（或同志）情谊
camel,n.,骆驼
camel,adj.,驼色的
camel case,驼峰式命名法 
camellia,n.,山茶花
canary,n.,金丝雀；淡黄色
cancer-causing,adj.,致癌的
candida,n.,念珠菌
candidate for doctor's degree,博士候选人 
candles,n.,蜡烛（复数）
candlewax,n.,蜡烛用蜡
cannibal,n.,食人者；同类相食的动物
canoe,n.,独木舟
canoe,v.,划独木舟
canvas,adj.,帆布制的
canvas,n.,帆布；油画
canvas,v.,用帆布覆盖
canvas shoes,n.,帆布鞋
canvas suitcase,n.,帆布箱
capacities,n.,能力（复数）；容量（复数）
cape,n.,海角；披肩
capitalism,n.,资本主义
capitalize,v.,用大写字母写；资本化；利用
capricious,adj.,反复无常的；任性的
capriciousness,n.,反复无常
captious,adj.,吹毛求疵的
captivate,v.,迷住；迷惑
captive,adj.,被俘虏的
captive,n.,俘虏
captivity,n.,囚禁；关押
car model,n.,车型；车模
car museum,n.,汽车博物馆
car park,n.,停车场
car pool,n.,拼车
car pool,v.,拼车
car racing,n.,赛车
car safety,n.,汽车安全
car tyres,n.,汽车轮胎
car-park,n.,停车场
caravan,n.,房车；旅行队
caravan,v.,开房车度假
carbohydrate,n.,碳水化合物
cargo handling,货物装卸 
carnation,n.,康乃馨
carnival,n.,嘉年华；狂欢节
carousel,n.,旋转木马；行李传送带
carpeting,n.,地毯料
carpets,n.,地毯（复数）
carrots,n.,胡萝卜（复数）
carry out,执行；进行 
carry-on,adj.,可随身携带的
carry-on,n.,随身行李
cars,n.,汽车（复数）
cartilage,n.,软骨
cartography,n.,地图绘制学
carton,n.,纸箱
carton,v.,用纸箱包装
cartoon,n.,动画片；漫画
cartoon,v.,画漫画
cartoons,n.,动画片；漫画（复数）
cartridge,n.,墨盒；弹药筒
carving,n.,雕刻品；雕刻艺术
case studies,案例研究 
case study,案例研究 
cash machine,取款机 
cash management,现金管理 
cash-desk,n.,收款台
cashmere sweater,羊绒衫 
casino,n.,赌场
casserole,n.,砂锅菜；焙盘
casserole,v.,用砂锅炖
cassette recorder,磁带录音机 
casting,n.,铸造；选角
castles,n.,城堡（复数）
casual clothes,便装；休闲服 
casual wear,休闲装 
casualty,n.,伤亡人员；急诊室
cataclysmic,adj.,灾难性的
catalogue,n.,目录
catalogue,v.,为…编目录
catalogue of titles,书名目录 
catalyst,n.,催化剂；促进因素
cataract,n.,大瀑布；白内障
catch a glimpse of,瞥见 
catching and throwing skill,接抛球技巧 
categoric,adj.,绝对的；明确的
categorical,adj.,绝对的；明确的
categorically,adv.,绝对地；明确地
categories,n.,类别（复数）
categorisation,n.,分类
categorise,v.,将…分类
cater for,提供餐饮；满足…的需求 
cater to the needs,满足需求 
cater to the tastes of some TV viewers,迎合部分电视观众的口味 
caterer,n.,餐饮服务商
catering,n.,餐饮服务
cathedral,n.,大教堂
cauliflower,n.,花椰菜；菜花
cause conflicts,引起冲突 
cause damage to houses and property,对房屋和财产造成损害 
cause danger,造成危险 
cause environmental pollution,造成环境污染 
cause of stress,压力来源 
cause pollution,造成污染 
cause psychological problems,导致心理问题 
cause the negative mood of audience,引起观众的负面情绪 
causes,n.,原因（复数）
caustic,adj.,腐蚀性的；刻薄的
caustic,n.,腐蚀剂
cautionary,adj.,警示的
cavalcade of luggage,一长列行李 
cavort,v.,欢跃；嬉戏
cede,v.,割让；放弃
ceiling,n.,天花板；上限
celebrated,adj.,著名的；驰名的
celebrities,n.,名人（复数）
celebrity,n.,名人；名声
celery,n.,芹菜
celestial,adj.,天上的；天空的
celestial,n.,神仙；天人
cello,n.,大提琴
cellular,adj.,细胞的；蜂窝状的
cemetery,n.,墓地；公墓
censor,n.,审查员
censor,v.,审查；删改
censorship,n.,审查制度
censure,n.,严厉批评；谴责
censure,v.,严厉批评；谴责
centennial,adj.,百年的
centennial,n.,百年纪念
centigrade,adj.,摄氏度的
centimeter,n.,厘米
centimetre,n.,厘米
central,adj.,中心的；主要的
central,n.,电话总机
central heating,n.,集中供暖
central heating system,n.,供暖系统
central station,n.,中央车站
centre forward,n.,（足球）中锋
centre halfback,n.,（足球）中前卫
centre mark,中点 
centric,adj.,中心的
centrifugal force,n.,离心力
centripetal,adj.,向心的
ceramic,adj.,陶瓷的
ceramic,n.,陶瓷制品
cereal-producing region,谷物产区 
cerebrospinal,adj.,脑脊髓的
ceremonial dress,礼服 
ceremonies,n.,仪式（复数）
certification,n.,证明；认证
certify,v.,证明；证实
cervical,adj.,颈部的；子宫颈的
cetacean,n.,鲸类动物
cha-cha,n.,恰恰舞
cha-cha,v.,跳恰恰舞
chain store,n.,连锁店
chained,被束缚的；连锁的 
chair o'plane,n.,旋转飞椅
chairperson,n.,主席
chairs,n.,椅子（复数）
chamber,n.,房间；室；议院
chameleon,n.,变色龙；善变的人
change of friends in personality,因性格变化而换朋友 
chorus master,n.,合唱队指挥
chromatic,adj.,彩色的
chronic,adj.,慢性的；长期的
chronically,adv.,长期地；慢性地
chronicle,n.,编年史；记录
chronicle,v.,记录；把…载入编年史
chronological,adj.,按时间顺序的
chronology,n.,年表；年代学
chronometer,n.,精密计时器
chrysanthemum,n.,菊花
chum,n.,好朋友；密友
chum,v.,结为密友
church music,教堂音乐 
church services,教堂礼拜 
cigar,n.,雪茄
cinecamera,n.,电影摄影机
cinemas,n.,电影院（复数）
cinematic,adj.,电影的
cinematography,n.,电影摄影术
cipher,n.,密码；无足轻重的人
cipher,v.,用密码书写；计算
circa,prep.,大约
circle of friends,n.,朋友圈
circles,n.,圆圈（复数）；圈子
circulating library,n.,流通图书馆
circumlocution,n.,迂回的说法
circumnavigate,v.,环球航行
circumscribe,v.,限制；在…周围划线
circumspect,adj.,小心的；谨慎的
circus arena,n.,马戏表演场
circus performance,n.,马戏表演
citation,n.,引文；引用；表彰
cite,v.,引用；引证；传讯
cities,n.,城市（复数）
city center,n.,市中心
city centre,n.,市中心
city council,n.,市议会
city library,n.,市立图书馆
city news,n.,同城新闻
city planning,n.,城市规划
civic,adj.,城市的；公民的
civil engineering,n.,土木工程
civil rights,n.,公民权利
civil servant,n.,公务员
civilisation,n.,文明
clan,n.,宗族；部落；帮派
clasp,n.,扣环；紧握
clasp,v.,扣住；紧握；抱紧
class attribute,类属性 
class diagram,类图 
class object,类对象 
class representative,n.,班代表
class schedule,n.,课程表
class supervisor,n.,班主任
class variable,类变量 
classical history,n.,古典史
classical music,n.,古典音乐
classified advertisement,n.,分类广告
classified catalogue,n.,分类目录
classified index,n.,分类索引
classmate,n.,同班同学
classroom,n.,教室
classroom tour,n.,参观教室
clause,n.,条款；（语法的）从句
claw,n.,爪；钳
claw,v.,用爪抓（或扒）
clay,n.,黏土；泥土
clay or hay,无关紧要的选择 
clean products,清洁产品 
clean the garden,打扫花园 
cleaner,n.,清洁工；清洁剂
cleanest,adj.,最干净的
cleaning,n.,清洁；打扫
cleansing cream,洁面霜；卸妆霜 
clear voice,清晰的声音 
clear-cut,adj.,明确的；清晰的
clearly,adv.,清楚地；明显地
clench,n.,紧握；咬紧
clench,v.,握紧；咬紧
clientele,n.,（总称）客户；顾客
cliffs,n.,悬崖（复数）
climax,n.,高潮；顶点
climbing,adj.,攀登的
climbing,n.,攀登；登山运动
climbing wall,n.,攀岩墙
clip,n.,夹子；回形针；片段
clip,v.,夹住；修剪
clipper,n.,剪具；快速帆船
cloak,n.,斗篷；披风；幌子
cloak,v.,掩盖；遮掩
cloak room,n.,衣帽间；行李寄存处
clockwise,adj.,顺时针的
clockwise,adv.,顺时针地
close cooperation,n.,密切合作
close shelves,密排书架 
close-up,n.,特写镜头
closed,adj.,关闭的；不开放的
closed down,（永久）关闭；倒闭 
closed reserve,闭架书库 
closed-circuit TV,n.,闭路电视
closely,adv.,仔细地；紧密地
closet,adj.,私下的；秘密的
closet,n.,壁橱；储藏室
closet,v.,把…关在房间里密谈
closure,n.,关闭；停业；结束
closure,v.,使（辩论）终止
clot,n.,凝块
clot,v.,（使）凝结成块
cloth,adj.,布制的
cloth,n.,布；织物；桌布
clothback,n.,布面装订的书
clothes-hanger,n.,衣架
clothing sections,n.,服装区
clown,n.,小丑；粗鲁笨拙的人
clown,v.,扮小丑；出洋相
club office,俱乐部办公室 
clubhouse,n.,俱乐部会所
clubs,n.,俱乐部（复数）；（扑克牌）梅花
co-operation,n.,合作；协作
co-operative,adj.,合作的
co-ordination,n.,协调；配合
co-pilot,n.,副驾驶员
coaches,n.,教练（复数）；车厢（复数）
coachload,n.,一车乘客
coagent,n.,合作者；助手
coarsely,adv.,粗糙地；粗俗地
coastal cities,n.,沿海城市
coastal city,n.,沿海城市
coastal port,n.,沿海港口
coastline,n.,海岸线
cock,n.,公鸡；龙头；（枪）扳机
cock,v.,竖起；歪（头）
cocktail,n.,鸡尾酒；混合物
coconut,n.,椰子
code point,代码点 
code segment,代码段 
code smell,代码异味 
codec,n.,编解码器
codes,n.,密码（复数）；代码（复数）
coed,adj.,男女同校的
coed,n.,女大学生（用于男女同校的大学）
coeducation,n.,男女同校教育
coercion,n.,强迫；强制
coeval,adj.,同时代的
coeval,n.,同代人
coexist,v.,共存
coexistence,n.,共存
coffee machine,n.,咖啡机
coffee shop,n.,咖啡店
coffee table,n.,咖啡桌；茶几
coffee-pot,n.,咖啡壶
coffer,n.,保险箱；金库
cognac,n.,科涅克白兰地
cognition,n.,认知；认识
cognitive,adj.,认知的
cognizant,adj.,认识到的；知晓的
cognize,v.,认识；认知
cohabit,v.,同居
cohere,v.,连贯；凝聚
coherence,n.,连贯性；一致性
coherent,adj.,连贯的；条理清晰的
coherently,adv.,连贯地
cohesion,n.,凝聚力；团结
coiled,adj.,盘绕的
coiled,v.,盘绕（coil的过去式和过去分词）
coinage,n.,造币；新创的词语
coincide,v.,同时发生；与…一致
coincident,adj.,同时发生的；一致的
coincidental,adj.,巧合的
coincidentally,adv.,巧合地
coins,n.,硬币（复数）
colas,n.,可乐（复数）
cold drink,n.,冷饮
colds,n.,感冒（复数）
collaborator,n.,合作者
